height = 50
width = 100
spawnX = 5
spawnY = 5
map = \
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X     X                                                                                            X\
X    XX                                                                                            X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X          XXXXX                                                                                   X\
X              X   XXXXXXXXX                                                                       X\
X              X   X                                                                               X\
X              X   X                                                                               X\
X              X   X                                                                               X\
X   XXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXXX                                                             X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
X                                                                                                  X\
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
